Date,Close,Volume,달러(원),위안(원)
2022-06-02,1868.36,71969,1252.1,187.1
2022-06-03,1851.16,66139,1242.7,187.3
2022-06-06,1842.14,70516,0.0,0.0
2022-06-07,1852.01,70501,1257.7,188.5
2022-06-08,1852.83,68372,1253.8,187.9
2022-06-09,1847.94,76898,1256.9,187.9
2022-06-10,1871.57,108302,1268.9,189.5
2022-06-13,1819.11,135566,1284.0,190.1
2022-06-14,1809.31,120799,1286.4,191.0
2022-06-15,1833.77,149000,1290.5,192.0
2022-06-16,1856.47,130247,1285.6,191.9
2022-06-17,1840.39,106475,1287.3,192.2
2022-06-20,1838.41,60387,1292.4,193.4
2022-06-21,1833.41,85637,1293.6,193.2
2022-06-22,1838.32,104772,1297.3,192.8
2022-06-23,1823.25,99920,1301.8,193.9
2022-06-24,1827.42,94785,1298.2,193.9
2022-06-27,1822.75,99952,1286.5,192.5
2022-06-28,1820.62,82501,1283.4,191.8
2022-06-29,1818.25,84542,1299.0,193.5
2022-06-30,1807.16,93535,1298.4,193.9
2022-07-01,1808.94,119807,1297.3,193.1
2022-07-04,1807.9,59315,1297.1,193.8
2022-07-05,1764.58,109297,1300.3,194.3
2022-07-06,1739.08,124697,1306.3,194.6
2022-07-07,1740.09,98852,1299.8,193.8
2022-07-08,1742.45,92256,1300.4,193.9
2022-07-11,1734.02,91528,1303.9,194.2
2022-07-12,1726.09,106343,1312.1,194.7
2022-07-13,1735.49,127180,1306.9,194.3
2022-07-14,1709.72,141342,1312.1,194.6
2022-07-15,1707.32,110443,1326.1,195.8
2022-07-18,1708.99,108272,1317.4,195.0
2022-07-19,1711.56,98632,1313.4,194.6
2022-07-20,1696.53,90656,1312.9,194.3
2022-07-21,1718.2,107428,1307.7,193.3
2022-07-22,1727.38,109099,1313.0,193.9
2022-07-25,1719.64,106336,1313.7,194.4
2022-07-26,1717.2,93441,1307.6,193.6
2022-07-27,1734.33,100623,1313.3,194.1
2022-07-28,1755.83,124048,1296.1,192.8
2022-07-29,1766.0,120806,1299.1,192.5
2022-08-01,1772.12,111292,1304.0,192.8
2022-08-02,1761.04,123396,1304.7,192.6
2022-08-03,1765.47,93674,1310.3,193.9
2022-08-04,1791.13,85439,1310.1,193.8
2022-08-05,1775.42,114726,1298.3,192.3
2022-08-08,1788.98,90152,1306.4,193.0
2022-08-09,1794.31,84869,1304.6,193.0
2022-08-10,1792.19,106848,1310.4,193.8
2022-08-11,1789.44,103248,1303.0,193.4
2022-08-12,1801.62,98803,1302.4,193.4
2022-08-15,1779.42,103692,0.0,0.0
2022-08-16,1775.46,89028,1308.1,192.2
2022-08-17,1762.0,114566,1310.3,193.1
2022-08-18,1758.38,102931,1320.7,193.9
2022-08-19,1747.28,105013,1325.9,194.4
2022-08-22,1736.15,104711,1339.8,195.8
2022-08-23,1747.79,106781,1345.5,195.6
2022-08-24,1751.29,100665,1342.1,195.2
2022-08-25,1758.62,100524,1335.2,194.9
2022-08-26,1738.08,121563,1331.3,194.01
2022-08-29,1737.45,111956,1350.4,194.85
2022-08-30,1724.23,109497,1346.7,194.45
2022-08-31,1710.99,119867,1337.6,193.72
2022-09-01,1697.55,124453,1354.9,195.93
2022-09-02,1712.78,114398,1362.6,197.0
2022-09-05,1710.07,61978,1371.4,197.48
2022-09-06,1701.9,120259,1371.7,197.37
2022-09-07,1718.27,127066,1384.2,198.1
2022-09-08,1708.42,133708,1380.8,198.3
2022-09-09,1716.85,110922,0.0,0.0
2022-09-12,1724.69,108748,0.0,0.0
2022-09-13,1702.32,125535,1373.6,198.38
2022-09-14,1697.36,126450,1390.9,199.64
2022-09-15,1664.56,121070,1393.7,199.77
2022-09-16,1675.01,118818,1388.0,197.8
2022-09-19,1675.71,100231,1393.6,198.47
2022-09-20,1664.76,106315,1389.5,198.06
2022-09-21,1673.73,136446,1394.2,197.83
2022-09-22,1671.16,159295,1409.7,199.01
2022-09-23,1644.87,151910,1409.3,198.43
2022-09-26,1622.4,180760,1431.3,199.93
2022-09-27,1629.16,147580,1421.5,198.85
2022-09-28,1659.88,171207,1439.9,199.18
2022-09-29,1660.52,163679,1438.9,199.85
2022-09-30,1660.79,146801,1430.2,201.83
2022-10-03,1699.62,148353,0.0,0.0
2022-10-04,1726.34,146016,1426.5,202.07
2022-10-05,1716.25,128807,1410.1,201.06
2022-10-06,1712.49,130355,1402.4,199.15
2022-10-07,1694.8,130306,1412.4,198.52
2022-10-10,1668.03,124012,0.0,0.0
2022-10-11,1666.1,143042,1435.2,199.78
2022-10-12,1673.12,136154,1424.9,198.87
2022-10-13,1666.19,147839,1431.3,198.96
2022-10-14,1644.29,156093,1428.5,199.12
2022-10-17,1650.57,126840,1435.3,198.99
2022-10-18,1651.92,130558,1422.7,197.52
2022-10-19,1629.01,128397,1426.2,197.13
2022-10-20,1628.03,139743,1433.3,197.75
2022-10-21,1657.33,180660,1439.8,198.32
2022-10-24,1649.36,167918,1439.7,197.85
2022-10-25,1653.08,140896,1433.1,195.38
2022-10-26,1664.62,144998,1426.6,195.86
2022-10-27,1663.26,160258,1417.0,196.56
2022-10-28,1644.6,151188,1421.5,196.17
2022-10-31,1633.56,117975,1424.3,195.25
2022-11-01,1647.66,143204,1417.2,194.43
2022-11-02,1635.07,139978,1417.4,194.65
2022-11-03,1629.55,148549,1423.8,194.3
2022-11-04,1680.79,163559,1419.2,195.3
2022-11-07,1675.31,144667,1401.2,194.0
2022-11-08,1712.33,132204,1384.9,190.9
2022-11-09,1706.92,138346,1364.8,188.28
2022-11-10,1755.48,152130,1377.5,189.78
2022-11-11,1770.15,145499,1318.4,185.87
2022-11-14,1771.09,142735,1325.9,188.69
2022-11-15,1778.72,208619,1317.6,187.04
2022-11-16,1773.79,174707,1325.0,187.29
2022-11-17,1760.17,147971,1339.1,187.65
2022-11-18,1750.97,129204,1340.3,187.75
2022-11-21,1737.75,143361,1354.7,189.18
2022-11-22,1739.97,128252,1356.6,189.36
